,AO_NUMBER,deal_time,NEXT_AOS,type,worker,no,constraints,position_con,con
438,150A205DE0220,2.0,,特设,2,438,"0,0,2","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
439,150A205DE0230,3.0,,特设,3,439,"0,0,3","0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0"
440,150A205DE0240,2.0,,特设,3,440,"0,0,3","0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0"
441,150A205DE0260,2.0,,特设,4,441,"0,0,4","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
442,150A205DE0270,3.0,,特设,3,442,"0,0,3","0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0"
443,150A205DE0420,2.0,,特设,4,443,"0,0,4","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
444,150A205DS0020,6.0,,机械,2,444,"0,2,0","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
445,150A205DT0010,4.0,,机械,4,445,"0,4,0","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
446,150A205DT0030,4.0,,机械,4,446,"0,4,0","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
447,150A205DT0040,4.0,,机械,4,447,"0,4,0","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
448,150A205DT0050,4.0,,机械,4,448,"0,4,0","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
449,150A205DT0070,4.0,,机械,4,449,"0,4,0","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
450,150A205DT0080,4.0,,机械,4,450,"0,4,0","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
451,150A205DW0020,4.0,,特设,2,451,"0,0,2","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
452,150A205DW0070,2.0,,特设,4,452,"0,0,4","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
453,150A205DW0080,2.0,,特设,4,453,"0,0,4","0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0"
454,150A205DW0100,4.0,,特设,2,454,"0,0,2","0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
455,150A205LD0010,2.0,,机械,2,455,"0,2,0","0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0"
456,150A205LD0020,3.0,,机械,2,456,"0,2,0","0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0"
457,150A205LD0040,4.0,,机械,6,457,"0,6,0","0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0","0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0"
458,150A205LD0050,2.0,,机械,2,458,"0,2,0","0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0"
459,150A210ZF3201,1.5,,机械,12,459,"0,12,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12","0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12"
