,AO_NUMBER,deal_time,NEXT_AOS,type,worker,no,constraints,position_con,con
75,150A103BL0050,4.0,"39,91,92,93,94,95,96,38,88,89,90,58,59,60,46",结构,3,75,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
76,150A103BL0060,5.0,"73,74",结构,3,76,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
77,150A103BL0070,5.0,"73,74",结构,3,77,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
78,150A103BL0080,4.0,"39,91,92,93,94,95,96,38,88,89,90,58,59,60,46",结构,3,78,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
79,150A103BL0090,4.0,"73,74",结构,3,79,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
80,150A103BL0100,4.0,"73,74",结构,3,80,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
81,150A103BL0110,4.0,"39,91,92,93,94,95,96,38,88,89,90,58,59,60,46",结构,3,81,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
82,150A103BL0120,4.0,"73,74",结构,3,82,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
83,150A103BL0130,4.0,"73,74",结构,3,83,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
84,150A103BL0140,4.0,"39,91,92,93,94,95,96,38,88,89,90,58,59,60,46",结构,2,84,"2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
85,150A103BL0150,2.0,"39,91,92,93,94,95,96,38,88,89,90,58,59,60,46",结构,2,85,"2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
86,150A103BL0160,2.0,"39,91,92,93,94,95,96,38,88,89,90,58,59,60,46",结构,2,86,"2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
