componet_no,group_id,length,width,material_no,material_width,materail_length
225A8130-140-014,33,877,862,110000000631,1320,4000
225A8130-160-011,34,580,539,110000000631,1320,4000
225A8130-160-013,34,681,640,110000000631,1320,4000
225A8130-160-012,34,580,539,110000000631,1320,4000
225A8130-160-014,34,681,640,110000000631,1320,4000
225A8130-170-011,35,835,665,110000000631,1320,4000
225A8130-170-013,35,936,766,110000000631,1320,4000
225A8130-170-012,35,835,665,110000000631,1320,4000
225A8130-170-014,35,936,766,110000000631,1320,4000
225A8130-180-011,36,1385,395,110000000631,1320,4000
225A8130-180-013,36,1486,496,110000000631,1320,4000
225A8130-180-012,36,1385,395,110000000631,1320,4000
225A8130-180-014,36,1486,496,110000000631,1320,4000
225A8130-190-011,37,1585,407,110000000631,1320,4000
225A8130-190-013,37,1686,508,110000000631,1320,4000
225A8130-190-012,37,1585,407,110000000631,1320,4000
225A8130-190-014,37,1686,508,110000000631,1320,4000
225A8130-210-011,38,1615,415,110000000631,1320,4000
225A8130-210-013,38,1716,516,110000000631,1320,4000
225A8130-210-012,38,1615,415,110000000631,1320,4000
225A8130-210-014,38,1716,516,110000000631,1320,4000
225A8130-220-011,39,1535,465,110000000631,1320,4000
225A8130-220-013,39,1636,566,110000000631,1320,4000
225A8130-220-012,39,1535,465,110000000631,1320,4000
225A8130-220-014,39,1636,566,110000000631,1320,4000
225A8130-230-011,40,1245,531,110000000631,1320,4000
225A8130-230-013,40,1346,632,110000000631,1320,4000
225A8130-230-012,40,1245,531,110000000631,1320,4000
225A8130-230-014,40,1346,632,110000000631,1320,4000
225A8130-240-011,41,485,475,110000000631,1320,4000
225A8130-240-013,41,586,576,110000000631,1320,4000
225A8130-240-012,41,485,475,110000000631,1320,4000
225A8130-240-014,41,586,576,110000000631,1320,4000
225A8130-250-011,42,1206,375,110000000631,1320,4000
225A8130-250-013,42,1307,476,110000000631,1320,4000
225A8130-250-012,42,1206,375,110000000631,1320,4000
225A8130-250-014,42,1307,476,110000000631,1320,4000
225A8130-260-011,43,1235,435,110000000631,1320,4000
225A8130-260-013,43,1336,536,110000000631,1320,4000
225A8130-260-012,43,1235,435,110000000631,1320,4000
225A8130-260-014,43,1336,536,110000000631,1320,4000
225A8130-270-011,44,1305,435,110000000631,1320,4000
225A8130-270-013,44,1406,536,110000000631,1320,4000
225A8130-270-012,44,1305,435,110000000631,1320,4000
225A8130-270-014,44,1406,536,110000000631,1320,4000
225A8130-280-009,45,1454,254,110000000631,1320,4000
225A8130-280-010,45,1454,254,110000000631,1320,4000
